Title,Category,Link,Interest_Rating,Is_Fake_News
My thoughts on Python in Excel,Programming,https://www.xlwings.org/blog/my-thoughts-on-python-in-exce,6,
Fungus breaks down ocean plastic,Science,https://www.nioz.nl/en/news/fungus-breaks-down-ocean-plastic,8,
Microsoft to delay release of Recall AI feature on security concerns,Operating Systems,https://www.reuters.com/technology/artificial-intelligence/microsoft-delay-release-recall-ai-feature-security-concerns-2024-06-14/,6,
Scan HTML faster with SIMD instructions – Chrome edition,Websites,https://lemire.me/blog/2024/06/08/scan-html-faster-with-simd-instructions-chrome-edition/,7,
"Show HN: Shpool, a Lightweight Tmux Alternative",Software,https://github.com/shell-pool/shpool,6,
"ASML Aims for Hyper-NA EUV, Shrinking Chip Limits ",Hardware,https://www.eetimes.com/asml-aims-for-hyper-na-euv-shrinking-chip-limits,4,
Brew-Nix: a flake automatically packaging all homebrew casks,Operating Systems,https://discourse.nixos.org/t/brew-nix-a-flake-automatically-packaging-all-homebrew-casks/44880,5,
Progressive Web Apps (PWAs) Phishing,Websites,https://mrd0x.com/progressive-web-apps-pwa-phishing,5,
Show HN: Paramount – Human Evals of AI Customer Support,AI,https://github.com/ask-fini/paramount,8,
Designing a website without 404s,Websites,https://pillser.com/engineering/2024-06-10-website-without-404s,7,
Luma AI Dream Machine,AI,https://lumalabs.ai/dream-machine,7,
Solving Probabilistic Tic-Tac-Toe,Programming,https://louisabraham.github.io/articles/probabilistic-tic-tac-toe,7,
Lamini Memory Tuning: 10x Fewer Hallucinations,AI,https://www.lamini.ai/blog/lamini-memory-tuning,8,
AMD CEO Lisa Su reminisces about designing the PS3's infamous Cell processor,Hardware,https://www.tomshardware.com/tech-industry/amd-ceo-lisa-su-reminisces-on-helping-design-the-ps3s-infamous-cell-processor-at-ibm,6,
React 19 Breaks Async Composability,Websites,https://github.com/facebook/react/pull/26380,9,
Encodings for flattened heap values,Programming,https://cr.openjdk.org/~jrose/values/flattened-values.html,6,
Lambda Calculus Interpreter,Software,https://lambda-calculus-interpreter.netlify.app/?term=(%CE%BBt.%20t%20t%20(%CE%BBh%20f%20n.%20n%20h%20f%20n)%20t%20t%20t)%20(%CE%BBf%20x.%20f%20(f%20x)),5,
Indian startup 3D prints rocket engine in 72 hours,Science,https://spectrum.ieee.org/3d-printed-rocket,8,
I Found a 55 Year Old Bug in the First Lunar Lander Game,Programming,https://martincmartin.com/2024/06/14/how-i-found-a-55-year-old-bug-in-the-first-lunar-lander-game/,6,
Microsoft's Recall AI feature is now indefinitely delayed,Operating Systems,https://blogs.windows.com/windowsexperience/2024/06/07/update-on-the-recall-preview-feature-for-copilot-pcs/,6,
Nvidia Warp: A Python framework for high performance GPU simulation and graphics,Programming,https://github.com/NVIDIA/warp,7,
Cost of self hosting Llama-3 8B-Instruct,AI,https://blog.lytix.co/posts/self-hosting-llama-3,8,
Effect – Build robust apps in TypeScript,Programming,https://effect.website/,8,
Start presentations on the second slide,Lifehack,https://tidyfirst.substack.com/p/start-presentations-on-the-second,8,
Map of forest sounds from around the world,Apps,https://timberfestival.org.uk/soundsoftheforest-soundmap/,6,
YouTube embeds ads into videos to beat ad blockers,Websites,https://searchengineland.com/youtube-embeds-ads-videos-ad-blockers-443187,7,
Sleep deprivation disrupts memory,Science,https://www.nature.com/articles/d41586-024-01732-y,9,
Dark Software,Software,https://notes.mtb.xyz/p/dark-software,9,
The problem with OpenTelemetry,Software,https://cra.mr/the-problem-with-otel/,6,
Turning the Tables on AI ,AI,https://ia.net/topics/turning-the-tables-on-ai,8,
Hydra: Generalizing Peephole Optimizations with Program Synthesis [pdf],Programming,https://users.cs.utah.edu/~regehr/generalization-oopsla24.pdf,5,
Vercel ends open-source sponsorship program giving projects 24hr notice,Websites,https://vercel.com/guides/can-vercel-sponsor-my-open-source-project,6,
Effect of passenger position on crash injury risk in aircraft (2015) [pdf],Science,https://www.tc.faa.gov/its/worldpac/techrpt/am15-17.pdf,6,
